time offset,cumulative caucused
0,1
4742,2
65572,3
79780,4
257033,5
257033,6
257033,7
257033,8
257033,9
257033,10
257033,11
257033,12
257033,13
257033,14
257033,15
257033,16
257033,17
257033,18
257033,19
257033,20
257033,21
257033,22
257033,23
257033,24
257033,25
257033,26
257033,27
257033,28
257033,29
257033,30
257033,31
257033,32
257033,33
257033,34
257033,35
257033,36
257033,37
257033,38
257033,39
257033,40
257033,41
257033,42
257033,43
257033,44
257033,45
257033,46
257033,47
257033,48
257033,49
257033,50
257033,51
257033,52
257033,53
257033,54
257033,55
257033,56
257033,57
257033,58
257033,59
257033,60
257033,61
257033,62
257033,63
257033,64
257033,65
257033,66
257033,67
257033,68
257033,69
257033,70
257033,71
257033,72
257033,73
257033,74
257033,75
257033,76
257033,77
257033,78
257033,79
257033,80
257033,81
257033,82
257033,83
257033,84
257033,85
257033,86
257033,87
257033,88
257033,89
257033,90
257033,91
257033,92
257033,93
257033,94
257033,95
257033,96
257033,97
257033,98
257033,99
257033,100
257033,101
257033,102
257033,103
257033,104
257033,105
257033,106
257033,107
257033,108
257033,109
257033,110
257033,111
257033,112
257033,113
257033,114
257033,115
257033,116
257033,117
257033,118
257033,119
257033,120
257033,121
257033,122
257033,123
257033,124
257033,125
257033,126
257033,127
257033,128
257033,129
257033,130
257033,131
257033,132
257033,133
257033,134
257033,135
257033,136
257033,137
257033,138
257033,139
257033,140
257033,141
257033,142
257033,143
257033,144
257033,145
257033,146
257033,147
257033,148
257033,149
257033,150
257033,151
257033,152
257033,153
257033,154
257033,155
257033,156
257033,157
257033,158
257033,159
257033,160
257033,161
257033,162
257033,163
257033,164
257033,165
257033,166
257033,167
257033,168
257033,169
257033,170
257033,171
257033,172
257033,173
257033,174
257033,175
257033,176
257033,177
257033,178
257033,179
257033,180
257033,181
257033,182
257033,183
257033,184
257033,185
257033,186
257033,187
257033,188
257033,189
257033,190
257033,191
257033,192
257033,193
257033,194
257033,195
257033,196
257033,197
257033,198
257033,199
257033,200
257033,201
257033,202
257033,203
257033,204
257033,205
257033,206
257033,207
257033,208
257033,209
257033,210
257033,211
257033,212
257033,213
257033,214
257033,215
257033,216
257033,217
257033,218
257033,219
257033,220
257033,221
257033,222
257033,223
257033,224
257033,225
257033,226
257033,227
257033,228
257033,229
257033,230
257033,231
257033,232
257033,233
257033,234
257033,235
257033,236
257033,237
257033,238
257033,239
257033,240
257033,241
257033,242
257033,243
257033,244
257033,245
257033,246
257033,247
257033,248
257033,249
257033,250
257033,251
257033,252
257033,253
257033,254
257033,255
257033,256
257033,257
257320,258
257320,259
257320,260
257320,261
257320,262
257320,263
257320,264
257320,265
257320,266
257320,267
257320,268
257320,269
257320,270
257320,271
257320,272
257320,273
257320,274
257320,275
257320,276
257320,277
257320,278
257320,279
257320,280
257320,281
257320,282
257320,283
257320,284
257320,285
257320,286
257320,287
257320,288
257320,289
257320,290
257320,291
257320,292
257320,293
257320,294
257320,295
257320,296
257320,297
257320,298
257320,299
257320,300
257320,301
257320,302
257320,303
257320,304
257320,305
257320,306
257320,307
257320,308
257320,309
257320,310
257320,311
257320,312
257320,313
257320,314
257320,315
257320,316
257320,317
257320,318
257320,319
257320,320
257320,321
257320,322
257320,323
257320,324
257320,325
257320,326
257320,327
257320,328
257320,329
257320,330
257320,331
257320,332
257320,333
257320,334
257320,335
257320,336
257320,337
257320,338
257320,339
257320,340
257320,341
257320,342
257320,343
257320,344
257320,345
257320,346
257320,347
257320,348
257320,349
257320,350
257320,351
257320,352
257320,353
257320,354
257320,355
257320,356
257320,357
257320,358
257320,359
257320,360
257320,361
257320,362
257320,363
257320,364
257320,365
257320,366
257320,367
257320,368
257320,369
257320,370
257320,371
257320,372
257320,373
257320,374
257320,375
257320,376
257320,377
257320,378
257320,379
257320,380
257320,381
257320,382
257320,383
257320,384
257320,385
257320,386
257320,387
257320,388
257320,389
257320,390
257320,391
257320,392
257320,393
257320,394
257320,395
257320,396
257320,397
257320,398
257320,399
257320,400
257320,401
257320,402
257320,403
257320,404
257320,405
257320,406
257320,407
257320,408
257320,409
257320,410
257320,411
257320,412
257320,413
257320,414
257320,415
257320,416
257320,417
257320,418
257320,419
257320,420
257320,421
257320,422
257320,423
257320,424
257320,425
257320,426
257320,427
257320,428
257320,429
257320,430
257320,431
257320,432
257320,433
257320,434
257320,435
257320,436
257320,437
257320,438
257320,439
257320,440
257320,441
257320,442
257320,443
257320,444
257320,445
257320,446
257320,447
257320,448
257320,449
257320,450
257320,451
257320,452
257320,453
257320,454
257320,455
257320,456
257320,457
257320,458
257320,459
257320,460
257320,461
257320,462
257320,463
257320,464
257320,465
257320,466
257320,467
257320,468
257320,469
257320,470
257320,471
257320,472
257320,473
257320,474
257320,475
257320,476
257320,477
257320,478
257320,479
257320,480
257320,481
257320,482
257320,483
257320,484
257320,485
257320,486
257320,487
257320,488
257320,489
257320,490
257320,491
257320,492
257320,493
257320,494
257320,495
257320,496
257320,497
257320,498
257320,499
257320,500
257320,501
257320,502
257320,503
257320,504
257320,505
257320,506
257320,507
257320,508
257320,509
257320,510
257320,511
257320,512
257320,513
257320,514
257320,515
257320,516
257320,517
257320,518
257320,519
257320,520
257320,521
257320,522
257320,523
257320,524
257320,525
257320,526
257320,527
257320,528
257320,529
257320,530
257320,531
257320,532
257320,533
257320,534
257320,535
257320,536
257320,537
257320,538
257320,539
257320,540
257320,541
257320,542
257320,543
257320,544
257320,545
257320,546
257320,547
257320,548
257320,549
257320,550
257320,551
257320,552
257320,553
257320,554
257320,555
257320,556
257320,557
257320,558
257320,559
257320,560
257320,561
257320,562
257320,563
257320,564
257320,565
257320,566
257320,567
257320,568
257320,569
257320,570
257320,571
257320,572
257320,573
257320,574
257320,575
257320,576
257320,577
257320,578
257320,579
257621,580
257621,581
257621,582
257621,583
257621,584
257621,585
257621,586
257621,587
257621,588
257621,589
257621,590
257621,591
257621,592
257621,593
257621,594
257621,595
257621,596
257621,597
257621,598
257621,599
257621,600
257621,601
257621,602
257621,603
257621,604
257621,605
257621,606
257621,607
257621,608
257621,609
257621,610
257621,611
257621,612
257621,613
257621,614
257621,615
257621,616
257621,617
257621,618
257621,619
257621,620
257621,621
257621,622
257621,623
257621,624
257621,625
257621,626
257621,627
257621,628
257621,629
257621,630
257621,631
257621,632
257621,633
257621,634
257621,635
257621,636
257621,637
257621,638
257621,639
257621,640
257621,641
257621,642
257621,643
257621,644
257621,645
257621,646
257621,647
257621,648
257621,649
257621,650
257621,651
257621,652
257621,653
257621,654
257621,655
257621,656
257621,657
257621,658
257621,659
257621,660
257621,661
257621,662
257621,663
257621,664
257621,665
257621,666
257621,667
257621,668
257621,669
257621,670
257621,671
257621,672
257621,673
257621,674
257621,675
257621,676
257621,677
257621,678
257621,679
257621,680
257621,681
257621,682
257621,683
257621,684
257621,685
257621,686
257621,687
257621,688
257621,689
257621,690
257621,691
257621,692
257621,693
257621,694
257621,695
257621,696
257621,697
257621,698
257621,699
257621,700
257621,701
257621,702
257621,703
257621,704
257621,705
257621,706
257621,707
257621,708
257621,709
257621,710
257621,711
257621,712
257621,713
257621,714
257621,715
257621,716
257621,717
257621,718
257621,719
257621,720
257621,721
257621,722
257621,723
257621,724
257621,725
257621,726
257621,727
257621,728
257621,729
257621,730
257621,731
257621,732
257621,733
257621,734
257621,735
257621,736
257621,737
257621,738
257621,739
257621,740
257621,741
257621,742
257621,743
257621,744
257621,745
257621,746
257621,747
257621,748
257621,749
257621,750
257621,751
257621,752
257621,753
257621,754
257621,755
257621,756
257621,757
257621,758
257621,759
257621,760
257621,761
257621,762
257621,763
257621,764
257621,765
257621,766
257621,767
257621,768
257621,769
257621,770
257621,771
257621,772
257621,773
257621,774
257621,775
257621,776
257621,777
257621,778
257621,779
257621,780
257621,781
257621,782
257621,783
257621,784
257621,785
257621,786
257621,787
257621,788
257621,789
257621,790
257621,791
257621,792
257621,793
257621,794
257621,795
257621,796
257996,797
257996,798
257996,799
257996,800
257996,801
257996,802
257996,803
257996,804
257996,805
257996,806
257996,807
257996,808
257996,809
257996,810
257996,811
257996,812
257996,813
257996,814
257996,815
257996,816
257996,817
257996,818
257996,819
257996,820
257996,821
257996,822
257996,823
257996,824
257996,825
257996,826
257996,827
257996,828
257996,829
257996,830
257996,831
257996,832
257996,833
257996,834
257996,835
257996,836
257996,837
257996,838
257996,839
257996,840
257996,841
257996,842
257996,843
257996,844
257996,845
257996,846
257996,847
257996,848
257996,849
257996,850
257996,851
257996,852
257996,853
257996,854
257996,855
257996,856
257996,857
257996,858
257996,859
257996,860
257996,861
257996,862
257996,863
257996,864
257996,865
257996,866
257996,867
257996,868
257996,869
257996,870
257996,871
257996,872
257996,873
257996,874
257996,875
257996,876
257996,877
257996,878
257996,879
257996,880
257996,881
257996,882
257996,883
257996,884
257996,885
257996,886
257996,887
257996,888
257996,889
257996,890
257996,891
257996,892
257996,893
257996,894
257996,895
257996,896
257996,897
257996,898
257996,899
257996,900
257996,901
257996,902
257996,903
257996,904
257996,905
257996,906
257996,907
257996,908
257996,909
257996,910
257996,911
257996,912
257996,913
257996,914
257996,915
257996,916
257996,917
257996,918
257996,919
257996,920
257996,921
257996,922
257996,923
257996,924
257996,925
257996,926
257996,927
257996,928
257996,929
257996,930
257996,931
257996,932
257996,933
257996,934
257996,935
257996,936
257996,937
257996,938
257996,939
257996,940
257996,941
257996,942
257996,943
257996,944
257996,945
257996,946
257996,947
257996,948
257996,949
257996,950
257996,951
257996,952
257996,953
257996,954
257996,955
257996,956
257996,957
257996,958
257996,959
257996,960
257996,961
257996,962
257996,963
257996,964
257996,965
257996,966
257996,967
257996,968
257996,969
257996,970
257996,971
257996,972
257996,973
257996,974
257996,975
257996,976
257996,977
257996,978
257996,979
257996,980
257996,981
257996,982
257996,983
257996,984
257996,985
257996,986
257996,987
257996,988
257996,989
257996,990
257996,991
257996,992
257996,993
257996,994
257996,995
257996,996
257996,997
257996,998
257996,999
257996,1000
257996,1001
257996,1002
257996,1003
257996,1004
257996,1005
257996,1006
257996,1007
257996,1008
257996,1009
257996,1010
257996,1011
257996,1012
257996,1013
257996,1014
257996,1015
257996,1016
257996,1017
257996,1018
257996,1019
257996,1020
257996,1021
257996,1022
257996,1023
257996,1024
257996,1025
257996,1026
257996,1027
257996,1028
257996,1029
257996,1030
257996,1031
257996,1032
257996,1033
257996,1034
257996,1035
257996,1036
257996,1037
258297,1038
258297,1039
258297,1040
258297,1041
258297,1042
258297,1043
258297,1044
258297,1045
258297,1046
258297,1047
