user_id,utc_time
1721611,2015-04-19 02:44:08Z
410802,2015-04-19 02:39:11Z
4780330,2015-04-19 02:39:11Z
934916,2015-04-19 02:39:11Z
1492329,2015-04-19 02:39:11Z
3311013,2015-04-19 02:39:11Z
1692767,2015-04-19 02:39:11Z
1197030,2015-04-19 02:39:11Z
1959180,2015-04-19 02:34:09Z
590589,2015-04-19 02:34:09Z
1544606,2015-04-19 02:34:09Z
4088852,2015-04-19 02:29:08Z
703016,2015-04-19 02:29:08Z
282328,2015-04-19 02:29:08Z
2231440,2015-04-19 02:29:08Z
1165998,2015-04-19 02:29:08Z
331137,2015-04-19 02:29:08Z
75500,2015-04-19 02:29:08Z
1527124,2015-04-19 02:29:08Z
1944400,2015-04-19 02:29:08Z
635824,2015-04-19 02:24:10Z
1919069,2015-04-19 02:24:10Z
1902874,2015-04-19 02:24:10Z
1399920,2015-04-19 02:24:10Z
2112866,2015-04-19 02:24:10Z
1245894,2015-04-19 02:19:15Z
2284418,2015-04-19 02:19:15Z
262030,2015-04-19 02:19:15Z
3821981,2015-04-19 02:19:15Z
624814,2015-04-19 02:19:15Z
845414,2015-04-19 02:19:15Z
756623,2015-04-19 02:19:15Z
481631,2015-04-19 02:12:23Z
757850,2015-04-19 02:12:23Z
1003917,2015-04-19 02:07:23Z
2749473,2015-04-19 02:07:23Z
46920,2015-04-19 02:07:23Z
1751158,2015-04-19 02:07:23Z
3996275,2015-04-19 02:07:23Z
186026,2015-04-19 02:07:23Z
940428,2015-04-19 02:07:23Z
1649865,2015-04-19 02:07:23Z
16771,2015-04-19 02:07:23Z
1909669,2015-04-19 02:02:26Z
221061,2015-04-19 02:02:26Z
2213767,2015-04-19 02:02:26Z
420867,2015-04-19 02:02:26Z
765854,2015-04-19 01:57:28Z
1730304,2015-04-19 01:57:28Z
974789,2015-04-19 01:57:28Z
1951907,2015-04-19 01:57:28Z
3007958,2015-04-19 01:57:28Z
458701,2015-04-19 01:52:24Z
1482573,2015-04-19 01:52:24Z
4327668,2015-04-19 01:52:24Z
483482,2015-04-19 01:52:24Z
997851,2015-04-19 01:52:24Z
828916,2015-04-19 01:52:24Z
1109316,2015-04-19 01:52:24Z
